Artists,Track,Type,FA status,Has label,Permission,Comment,Tournament,Mappool slot,Tournament link,Note,Beatmap,FA listing,SoundCloud,YouTube,Spotify,Bandcamp,Asset
`VINXIS`:22,VINXIS - FALL,TOURNAMENT_COMMUNITY,FA,0,ASSUMED,,Corsace Open 2021,Grand Finals NM6,,,https://osu.ppy.sh/beatmapsets/1581340,,,https://www.youtube.com/watch?v=_FlHUWVjHvY,,,
`Aoi`:183,Aoi - King Atlantis,TOURNAMENT_COMMUNITY,FA,0,ASSUMED,,Corsace Open 2022,Grand Finals tiebreaker,,,https://osu.ppy.sh/beatmapsets/1850986,,,https://www.youtube.com/watch?v=TLJkMNmDed4,,,
`Rabbit House`:242,Rabbit House - Divine Ordeal,TOURNAMENT_COMMUNITY,FA,0,ASSUMED,,Corsace Open 2022,Round of 32 tiebreaker,,,https://osu.ppy.sh/beatmapsets/1829371,,https://soundcloud.com/dksslqj/divine-ordeal,,,,
`rN`:190,rN - Anteisce,TOURNAMENT_COMMUNITY,FA,0,ASSUMED,,Corsace Open 2022,Grand Finals NM6,,,https://osu.ppy.sh/beatmapsets/1850922,,,,,,
`Camellia`:31,Camellia - TremENDouS,TOURNAMENT_COMMUNITY,FA,0,ASSUMED,,Expert Global Taiko Showdown 2021,Grand Finals tiebreaker,/wiki/Tournaments/GTS/EGTS_2021,,https://osu.ppy.sh/beatmapsets/1638764,,,https://www.youtube.com/watch?v=XXDNPX-oYCI,,,
`II-L`:172,II-L - Unidentified Frequency Op.3 (Type-Triangle),TOURNAMENT_COMMUNITY,FA,0,ASSUMED,,Expert Global Taiko Showdown 2021,Grand Finals NM5,/wiki/Tournaments/GTS/EGTS_2021,,https://osu.ppy.sh/beatmapsets/1632950,,,https://www.youtube.com/watch?v=vhsfT7PCp8A,,,
`katagiri`:176,katagiri - Taboo Assembly,TOURNAMENT_COMMUNITY,FA,0,ASSUMED,,Expert Global Taiko Showdown 2021,Grand Finals NM1,/wiki/Tournaments/GTS/EGTS_2021,,https://osu.ppy.sh/beatmapsets/1651850,,https://soundcloud.com/katagiri/taboo-assembly,,,,
`A?`:173,A? - WAVE PUNCH,TOURNAMENT_COMMUNITY,FA,0,ASSUMED,,Expert Global Taiko Showdown 2022,Qualifiers HR2,/wiki/Tournaments/GTS/EGTS_2022,,https://osu.ppy.sh/beatmapsets/1823663,,https://soundcloud.com/user-709202560/wave-punch,,,,
`Aoi`:183,Aoi - TYPE-Rebellion,TOURNAMENT_COMMUNITY,FA,0,ASSUMED,,Expert Global Taiko Showdown 2022,Round of 64 FM1,/wiki/Tournaments/GTS/EGTS_2022,,https://osu.ppy.sh/beatmapsets/1833435,,,https://www.youtube.com/watch?v=rH4EeaJ1X0c,,,
`DJ Raisei`:204,DJ Raisei - Fractured Angel,TOURNAMENT_COMMUNITY,FA,0,ASSUMED,,Expert Global Taiko Showdown 2022,Round of 32 tiebreaker,/wiki/Tournaments/GTS/EGTS_2022,,https://osu.ppy.sh/beatmapsets/1838114,,,https://www.youtube.com/watch?v=YlaYNIXJAyM,,,
`katagiri`:176,katagiri - Bootleg Heaven,TOURNAMENT_COMMUNITY,FA,0,ASSUMED,,Expert Global Taiko Showdown 2022,Finals NM6,/wiki/Tournaments/GTS/EGTS_2022,,https://osu.ppy.sh/beatmapsets/1855270,,,https://www.youtube.com/watch?v=7a2k9yvExv4,,,
